admin  ||  wash_record  ||  回收站恢复  ||  PATCH  ||   /admin/wash_records/:wash_record_id/is_deleted  ||  ['is_deleted']  ||  ['boolean']  ||  ['T']  ||  ['204', '403', '404', '422']  ||    ||  
admin  ||  wash_record  ||  订单部分退款  ||  POST  ||    /admin/wash_records/:wash_record_id/refund  ||  ['refunds', 'refund_description']  ||  ['int', 'string']  ||  ['T', 'F']  ||  ['204', '403', '404', '422']  ||    ||  
admin  ||  wash_record  ||  洗车记录详情  ||  GET  ||    /admin/wash_records/:wash_record_id  ||    ||    ||    ||  ['200', '404']  ||  WashRecord  ||  
admin  ||  wash_record  ||  关闭洗车订单  ||  POST  ||    /admin/wash_records/:wash_record_id/close  ||  ['close_description']  ||  ['string']  ||  ['F']  ||  ['204', '404', '422']  ||    ||  
admin  ||  wash_record  ||  洗车订单添加备注  ||  PATCH  ||   /admin/wash_record/:wash_record_id  ||  ['admin_remark']  ||  ['string']  ||  ['T']  ||  ['204', '403', '404', '422']  ||    ||  
admin  ||  wash_record  ||  删除洗车订单  ||  DELETE  ||   /admin/wash_records/:wash_record_id  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  wash_record  ||  订单详情修改（车牌,手机号,名字）  ||  PATCH  ||   /admin/wash_records/:wash_record_id/(car_id|mobile|name)  ||  ['car_id', 'mobile', 'name']  ||  ['string', 'string', 'string']  ||  ['F', 'F', 'F']  ||  ['204', '422', '403', '404']  ||    ||  
admin  ||  wash_area  ||  服务区域_查询  ||  GET  ||    /admin/wash_areas  ||  ['name', 'enabled', 'page_num', 'page_size']  ||  ['string', 'Boolean', 'int', 'int']  ||  ['F', 'F', 'T', 'T']  ||  ['200', '403', '422']  ||  WashArea  ||  
admin  ||  wash_area  ||  服务区域_添加  ||  POST  ||   /admin/wash_areas  ||  ['name', 'province', 'city', 'district', 'service_type', 'wash_normal', 'wash_group', 'user_group', 'enabled']  ||  ['string', 'string', 'string', 'string', 'int', 'Boolean', 'Boolean', 'Boolean', 'Boolean']  ||  ['T', 'T', 'T', 'T', 'T', 'F', 'F', 'F', 'F']  ||  ['201', '403', '422']  ||    ||  
admin  ||  wash_area  ||  服务区域_删除  ||  DELETE  ||   /admin/wash_areas/:wash_area_id  ||    ||    ||    ||  ['204', '403', '404']  ||    ||  
